,LotDescription,Parent#,Revenue,ParentID,LotID
230,PT38 - Black Pants,B00O4UZ1DS,3426.04,410,519.0
231,PT4A - Navy Shorts,B00O4UZ4TE,3424.06,413,531.0
232,SK52 - Navy/Medium Blue Knit Tops,B00O9OQIA4,3400.6800000000003,616,717.0
233,PT2C - Khaki Pants,B00O4UZ19W,3391.7,408,509.0
234,PC76 - Navy Pants,B00O4UYND2,3391.2999999999997,392,426.0
235,SP24 - Charcoal/red/white Stripe Woven Shirts,B00O97342G,3386.53,571,901.0
236,SP20 - Light Blue/Navy Stripe Woven Shirts,B00O9736UG,3383.58,573,887.0
237,SMT4NV RG 4XL - Navy Flame Resistant Tops,B00HRFV96A,3383.1,310,802.0
238,SEL2GY RG XXL - Grey Flame Resistant Tops,B00HRFUX80,3362.9,308,663.0
239,SEG6KH LN XXL - Khaki Flame Resistant Tops,B00HUA5ZYE,3329.0,352,660.0
240,CNB3NV RG S - Navy Flame Resistant Bottoms,B00JFO0J2G,3297.3900000000003,366,259.0
241,PT21 - Black Industrial,B00SBHMIEA,3280.139999999999,639,490.0
242,DP23P - White Hospitality,B00SBHLZU8,3279.6600000000003,630,283.0
243,SLW2NV RG S - Navy Flame Resistant Tops,B00HUA71GE,3271.71,359,799.0
244,SLW2KH LN L - Khaki Flame Resistant Tops,B00HUA71GE,3205.81,359,797.0
245,CC16 - Navy Coveralls,B00O971BKS,3204.5200000000004,479,218.0
246,WP90 - Black Shorts,B00O4VXX46,3203.1899999999996,422,1120.0
247,SP24 - Light Tan Woven Shirts,B00O9734IK,3202.16,572,914.0
248,PT26 - Navy Shorts,B00O4UYXNW,3197.76,406,497.0
249,PT62 - Black Uniforms Bottoms,B00O4UZCWI,3177.5299999999997,419,561.0
250,SLU2LB LN L - Light Blue Flame Resistant Tops,B00HUA6TBM,3164.88,357,785.0
251,PT60 - Charcoal Pants,B005HV54Q2,3142.25,96,550.0
252,PC45 - Khaki Industrial,B00SBHMCE6,3130.4800000000005,635,418.0
253,LNS2NV LN XXL - Navy Flame Resistant Outerwear,B00HUA4TDW,3126.9800000000005,342,400.0
254,QT20BT - Dark Blue Flame Resistant Tops,B01C4C3274,3121.92,700,599.0
255,PT60 - Navy Pants,B005HV54Q2,3118.78,96,552.0
256,SEK2NV RG 3XL - Navy Flame Resistant Tops,B00HUA65HK,3079.6,353,662.0
257,SNS2RB RG 3XL - Royal Blue Flame Resistant Tops,B00HUA7KRO,3073.12,363,816.0
258,SP66 - White Uniforms Tops,B01AFSIDS2,3046.22,691,966.0
259,SEL2KH LN XXL - Khaki Flame Resistant Tops,B00HRFUX80,3030.1899999999996,308,664.0
260,PT89 - Navy Industrial,B00SBHMPEI,3027.1800000000003,644,571.0
261,JT36 - Navy Outerwear,B00O971R7U,3023.67,497,334.0
262,SK92 - Royal Blue Knit Tops,B019XDXNT4,3014.7799999999997,684,770.0
263,SP14 - Red Woven Shirts,B00O972ZAI,2997.02,561,867.0
264,JT22 - Spruce Green Outerwear,B00O971MHK,2971.63,494,333.0
265,SP14 - Grey/black With Red/white Woven Shirts,B00O9738RM,2946.0,575,
266,SP24 - Silver Grey Woven Shirts,B00O9734IK,2943.12,572,928.0
267,SEL2LB RG S - Light Blue Flame Resistant Tops,B00HRFUX80,2925.3,308,665.0
